440852,4.6,"lars.vogel","NEW","---","[Workbench] Fix Non-externalized string literal warning in org.eclipse.e4.ui.workbench.addons.swt","normal",
448887,4.6,"lars.vogel","NEW","---","[Tests] Launch configurations should not include a Display setting","normal",
457868,4.6,"lars.vogel","NEW","---","[Tests] Activate org.eclipse.ui.tests.navigator tests during Tycho build","enhancement",
467028,4.6,"tom.schindl","NEW","---","Get rid of javax.xml and use JRE-Classes instead","normal",
470998,4.6,"jonas.helming","NEW","---","[e4 Tools] Extract fragment wizard creates multiple fragments for same location","normal",
421425,4.6,"platform-ui-triaged","NEW","---","[Workbench] ESelectionService doesn't work correctly if the active IEclipseContext is a child of the parts context","normal",
436506,4.6,"lars.vogel","NEW","---","[Eclipse 4.6] Delete org.eclipse.ui.views.tasklist.TaskList in Eclipse 4.6","normal",
452765,4.6,"platform-ui-triaged","NEW","---","[Tests] org.eclipse.e4.ui.menu.tests are failing","normal",
466075,4.6,"Platform-UI-Inbox","NEW","---","[CSS] IEclipsePreferences#id can be used only once","major",
468796,4.6,"vrubezhny","NEW","---","ClassCastException in Theme$1.propertyChange (127)","normal",
162560,4.6,"platform-ui-triaged","NEW","---","[LinkedResources] Linked Resources Preference Page has no Apply button","normal",
372523,4.6,"platform-ui-triaged","NEW","---","[Workbench] Rework Workbench startup so it doesn't use LegacyIDE.e4xmi","major",
408730,4.6,"Platform-UI-Inbox","NEW","---","[Contributions] Missing label for toolbar menu contribution","normal",
430199,4.6,"platform-ui-triaged","NEW","---","[CSS] Form, FormHeading and inner children have paint issue","normal",
441690,4.6,"platform-ui-triaged","NEW","---","[Dialogs] ""Switch to Editor"" dialog does not activate an editor open in inactive perspective","normal",
449662,4.6,"simon.scholz","NEW","---","[FilteredTree] Use FilteredTree from org.eclipse.e4.ui.dialogs in platform.ui","normal",
458832,4.6,"lars.vogel","NEW","---","[Workbench] Replace deprecated Preference access in IDEWorkspacePreferencePage","normal",
465206,4.6,"bsd","NEW","---","Import Existing Projects should warn when project name is overridden","enhancement",
467102,4.6,"lars.vogel","NEW","---","[Dark] Layer breakage of Platform to JDT","normal",
471383,4.6,"bsd","NEW","---","""Unsplit editor"" does not necessarily unsplit on pane containing cursor","minor",
422139,4.6,"tmccrary","NEW","---","[Graphics] Move ""org.eclipse.ui.images"" to eclipse.images git repo and rename to ""org.eclipse.images""","normal",
434568,4.6,"lars.vogel","NEW","---","Remove content from old Git repositories and update description to new location","normal",
448275,4.6,"lars.vogel","NEW","---","Mark deprecated dialogs from org.eclipse.ui.dialogs for deletion","normal",
453520,4.6,"lars.vogel","NEW","---","[Tests] [CSS]  Activate org.eclipse.e4.ui.tests.css.swt tests during Tycho build","normal",
468945,4.6,"Platform-UI-Inbox","NEW","---","[Graphics] Replace gif icons with png files in Eclipse platform projects","normal",
431177,4.6,"lars.vogel","NEW","---","Mark outdated API from org.eclipse.ui.commands in Luna for deletion in Luna+2","enhancement",
436183,4.6,"platform-ui-triaged","NEW","---","[CSS] Revisit creating preference nodes in CSS bridge","normal",
442152,4.6,"wojciech.sudol","NEW","---","WorkbenchSiteProgressServiceTest.testWaitCursor fails in official build","normal",
459981,4.6,"platform-ui-triaged","NEW","---","[Viewers] Add a CachedCheckboxTreeViewer, which caches the checked elements even if it is filtered","normal",
467539,4.6,"Platform-UI-Inbox","NEW","---","NullPointerException in TabbedPropertySheetTitleProvider.<init> (56)","normal",
472525,4.6,"lars.vogel","NEW","---","Adapt pom less Tycho for platform.ui","normal",
423056,4.6,"platform-ui-triaged","NEW","---","[Intro] Restore welcome hyperlink on Welcome page does not work if view is maximized","normal",
438398,4.6,"Platform-UI-Inbox","NEW","---","Turning all editors not visible makes the Editors Area not visible as well","normal",
448656,4.6,"simon.scholz","NEW","---","Update help Workbench User Guide > Reference > Preferences with Export CVS... info","normal",
455568,4.6,"platform-ui-triaged","NEW","---","[Min/Max] [Model] Add Special tag to allow Area Children to be maximizable","enhancement",
463748,4.6,"Platform-UI-Inbox","NEW","---","Require core.di.annotations instead of core.di whenever possible","normal",
